"sum","norm","min","max","q1","q3","iqr","mean","med","std","range","skew","kurtosis","classification","validate","zeroes","aboveMeanCount","entropy","zeros.log","norm.log","min.log","max.log","q1.log","q3.log","med.log","std.log","range.log","skew.log","kurtosis.log","aboveMeanCount.log","contourCountLSD","contourAvgLength","contourLengthLSD","contourAvgLengthLSD"
-0.220999672580457,-0.236196791063753,-0.204752005134499,-0.249623639186651,-0.21446104615146,-0.222991476961815,0.219119495723258,-0.220999672580457,-0.219442230059583,-0.236512497333964,-0.233650766325331,1.13253676518504,0.16788001127694,"high",0,0,4883,8.17761767663222,-2.30258509299405,-3.4786030886505,-17.6039285015231,-5.75600127775146,-16.2683388314062,-14.1430941814976,-15.6759333966394,-9.38794736879303,-5.75600843114533,2.42548076681728,5.36179876267421,8.49351506406166,28,38.07692308,19660,702.1428571
-0.220999672360713,-0.236196788748685,-0.204752005134345,-0.249623575219035,-0.214461046151587,-0.222991476921797,0.219119495127145,-0.220999672360713,-0.219442230050837,-0.236512489426338,-0.233650621447505,1.11453141649013,0.206668338360205,"high",0,0,5217,8.34732094674943,-2.30258509299405,-3.11209823294013,-17.5043372795115,-5.39524301321497,-16.2975697252045,-13.3915584665543,-14.9222024685859,-9.23948564738432,-5.3952485224129,2.41336995495596,5.47875780393322,8.55967780302239,18,50,8188,454.8888889
-0.220999671972323,-0.23619678542158,-0.204752005134619,-0.249623514506996,-0.214461046152033,-0.222991476886788,0.219119494600804,-0.220999671972323,-0.21944223003531,-0.236512464170048,-0.233650483942431,1.1473661810993,0.179647839287806,"high",0,0,5313,8.31293644924455,-2.30258509299405,-2.74677052289406,-17.6890393734162,-5.14258798044208,-16.4079264022934,-13.0115927871595,-14.2596317483853,-8.87438781018185,-5.14259153795237,2.43534639031584,5.3987496953716,8.57791192645094,20,45.80769231,8928,446.4
-0.220999671094415,-0.23619678255872,-0.204752005134538,-0.249623571547527,-0.214461046152016,-0.222991476706188,0.219119491918974,-0.220999671094415,-0.219442229991683,-0.236512436014134,-0.233650613131718,0.641509397687899,-0.0216940803465444,"high",0,0,6040,8.57959404018637,-2.30258509299405,-2.51302019845123,-17.63069236568,-5.37800973230947,-16.4035885117832,-12.0443285295564,-13.4004079702268,-8.58098135748354,-5.37801450461873,2.02756052622088,4.42938792999502,8.70615929092886,27,41.20833333,17013,630.1111111
-0.220999671286682,-0.236196779730247,-0.204752005134578,-0.249623390666919,-0.214461046152795,-0.222991476802076,0.219119493331754,-0.220999671286682,-0.219442230009704,-0.236512427915311,-0.233650203461322,0.991033331386724,0.123278060278285,"high",0,0,5314,8.34206117286938,-2.30258509299405,-2.3257634120819,-17.658949811508,-4.76729820121078,-16.6306747788307,-12.4434916304159,-13.6724011032127,-8.51039066194272,-4.76730072020627,2.32609741762992,5.20786685688728,8.57810012631976,19,38.8125,9491,499.5263158
-0.220999670212795,-0.236196775271207,-0.204752005134837,-0.249623049692835,-0.214461046152514,-0.22299147674924,0.21911949255115,-0.220999670212795,-0.219442230002497,-0.236512356455788,-0.233649431200306,1.32476639947614,0.296167627216347,"high",0,0,5223,8.26125747842061,-2.30258509299405,-2.08736495744965,-17.8642602080391,-4.14588988739359,-16.5427311645355,-12.2042264873937,-13.5546091508352,-8.03952637610373,-4.14589098940911,2.54638627745379,5.70564194870708,8.5608272284363,15,49.58333333,7306,487.0666667
-0.220999670862498,-0.236196777655377,-0.204752005134959,-0.249623291016668,-0.214461046150355,-0.222991476766385,0.219119492836894,-0.220999670862498,-0.219442230010936,-0.23651239191406,-0.233649977766243,1.13185377003674,0.165776473505496,"high",0,0,4694,8.19569503418711,-2.30258509299405,-2.20774007112303,-17.9782960457071,-4.54272462524746,-16.0439590377317,-12.2757749089921,-13.6939964328917,-8.24574163545781,-4.54272608744412,2.4250240349244,5.35504737373285,8.45404037641097,17,49.125,8358,491.6470588
-0.220999671118231,-0.236196780765118,-0.204752005135031,-0.24962332133529,-0.214461046150193,-0.222991476841773,0.219119493958813,-0.220999671118231,-0.219442230025679,-0.236512403152351,-0.233650046433742,1.21547066117169,0.194547614231322,"high",0,0,4768,8.15376653231764,-2.30258509299405,-2.39028101493382,-18.052020083455,-4.60587518858799,-16.0148682775064,-12.6705109556167,-13.9968481303832,-8.32109666426303,-4.60587663540559,2.47944496653507,5.44365747893191,8.46968220874519,15,50.41666667,6859,457.2666667
-0.22099967166685,-0.236196785070834,-0.204752005135093,-0.249623421049911,-0.21446104615062,-0.222991476856717,0.219119494174591,-0.22099967166685,-0.219442230035797,-0.236512442237687,-0.233650272273892,1.2140144761424,0.218893226586593,"high",0,0,4826,8.23392448821132,-2.30258509299405,-2.71501799872764,-18.1199068036694,-4.8471745184456,-16.0932152166818,-12.7713698926151,-14.2749473406451,-8.63882872095315,-4.8471762392281,2.47852212925673,5.51295425195977,8.48177324618498,18,34.15625,9076,504.2222222
-0.220999672390763,-0.236196788935833,-0.204752005134967,-0.249623548298687,-0.214461046150774,-0.222991476895779,0.219119494752479,-0.220999672390763,-0.219442230038514,-0.236512487992934,-0.233650560475518,1.47183149275767,0.446040550378345,"high",0,0,5078,8.33433530020244,-2.30258509299405,-3.13721638650576,-17.9858771238547,-5.2752814897688,-16.1230808848447,-13.0962598641069,-14.3649610830614,-9.21478417795825,-5.27528450874097,2.62992338395288,5.99824885359331,8.53267276226462,16,39.90322581,6912,432
