contourAvgLength,contourCountLSD,contourLengthLSD,contourAvgLengthLSD
43.9375,346,2527836,7305.884393
44.81818182,342,2550370,7457.222222
101.503937,161,544573,3382.440994
105.6821705,128,372181,2907.664063
94.10273973,107,239161,2235.149533
86.95364238,92,178771,1943.163043
87.69767442,85,163423,1922.623529
75.32758621,108,249516,2310.333333
75.28658537,91,189574,2083.230769
72.59649123,94,190061,2021.925532
83.12738854,85,163467,1923.141176
96.20138889,114,275284,2414.77193
40,33,21903,663.7272727
36,46,42052,914.173913
31.28571429,41,34521,841.9756098
36.58333333,31,21402,690.3870968
38.85714286,22,11691,531.4090909
36.92307692,30,19232,641.0666667
41.54545455,32,23117,722.40625
41.93333333,38,26940,708.9473684
36.3125,30,19279,642.6333333
34.53333333,35,27144,775.5428571
43,31,20002,645.2258065
52.85714286,5,2782,556.4
40,16,6412,400.75
32.85714286,27,17802,659.3333333
40.83333333,8,3227,403.375
49.6,11,4713,428.4545455
46.75,12,5005,417.0833333
53,6,2917,486.1666667
74.5,2,2289,1144.5
38,19,8815,463.9473684
37.43181818,211,789066,3739.649289
47.77777778,313,1990044,6357.968051
53.02173913,299,1847574,6179.177258
54.83673469,332,2370253,7139.316265
42.11764706,308,2020934,6561.474026
46.60869565,270,1586572,5876.192593
43.88,316,1995477,6314.800633
49.80952381,317,2140709,6753.025237
48.95833333,350,2669030,7625.8
43.46428571,373,3001481,8046.865952
38.18181818,40,33533,838.325
36.52631579,37,28068,758.5945946
36.33333333,34,25298,744.0588235
33.21428571,34,23400,688.2352941
39.46153846,25,14251,570.04
40.2,19,10923,574.8947368
39.07142857,25,13508,540.32
41.14285714,31,20191,651.3225806
35.35714286,26,13333,512.8076923
36,28,17464,623.7142857
35,27,14932,553.037037
36.65,64,85918,1342.46875
39.25714286,86,154302,1794.209302
47.84313725,198,847405,4279.823232
51.12820513,162,597028,3685.358025
48.5,90,165897,1843.3
45.86363636,167,633735,3794.820359
51.77777778,72,116565,1618.958333
46.95555556,167,725664,4345.293413
